medicao,api_type,query_type,time_ms,size_bytes
1,REST,Simples,361.53109998849686,2719
1,GraphQL,Simples,356.81140000815503,63
1,REST,Complexa,313.3477999945171,2719
1,GraphQL,Complexa,341.97690000291914,3307
2,REST,Simples,319.743500003824,2719
2,GraphQL,Simples,351.73999999824446,63
2,REST,Complexa,315.41000001016073,2719
2,GraphQL,Complexa,357.1916999935638,3307
3,REST,Simples,329.7765999886906,2719
3,GraphQL,Simples,369.72960000275634,63
3,REST,Complexa,329.07459999842104,2719
3,GraphQL,Complexa,432.8520999988541,3307
4,REST,Simples,367.3057999985758,2719
4,GraphQL,Simples,361.59430000407156,63
4,REST,Complexa,321.8329000083031,2719
4,GraphQL,Complexa,371.29909999202937,3307
5,REST,Simples,320.93600000371225,2719
5,GraphQL,Simples,349.8338000063086,63
5,REST,Complexa,331.39849999861326,2719
5,GraphQL,Complexa,355.5216999957338,3307
6,REST,Simples,352.0293000037782,2719
6,GraphQL,Simples,358.96599999978207,63
6,REST,Complexa,357.70839999895543,2719
6,GraphQL,Complexa,348.7270999903558,3307
7,REST,Simples,327.0009999978356,2719
7,GraphQL,Simples,356.0526000073878,63
7,REST,Complexa,315.7525999995414,2719
7,GraphQL,Complexa,356.9119000021601,3307
8,REST,Simples,319.6604999975534,2719
8,GraphQL,Simples,365.0199999974575,63
8,REST,Complexa,327.8508000075817,2719
8,GraphQL,Complexa,366.0613999963971,3307
9,REST,Simples,352.6454999955604,2719
9,GraphQL,Simples,355.1224999973783,63
9,REST,Complexa,326.66730000346433,2719
9,GraphQL,Complexa,354.85659999540076,3307
10,REST,Simples,330.733800001326,2719
10,GraphQL,Simples,378.8695999974152,63
10,REST,Complexa,322.14839999505784,2719
10,GraphQL,Complexa,358.6846000107471,3307
11,REST,Simples,322.9772999911802,2719
11,GraphQL,Simples,358.73849999916274,63
11,REST,Complexa,318.9598000026308,2719
11,GraphQL,Complexa,390.9216000029119,3307
12,REST,Simples,334.67760001076385,2719
12,GraphQL,Simples,368.2674000010593,63
12,REST,Complexa,330.7504999975208,2719
12,GraphQL,Complexa,355.2879000053508,3307
13,REST,Simples,319.9245999858249,2719
13,GraphQL,Simples,378.5897999914596,63
13,REST,Complexa,326.1596000083955,2719
13,GraphQL,Complexa,345.7571999897482,3307
14,REST,Simples,328.6346999957459,2719
14,GraphQL,Simples,393.2807999954093,63
14,REST,Complexa,322.66530000197235,2719
14,GraphQL,Complexa,355.2397000021301,3307
15,REST,Simples,330.0582999945618,2719
15,GraphQL,Simples,356.13159999775235,63
15,REST,Complexa,327.5831999926595,2719
15,GraphQL,Complexa,345.3653000033228,3307
16,REST,Simples,322.77389999944717,2719
16,GraphQL,Simples,361.3980000081938,63
16,REST,Complexa,317.76770000578836,2719
16,GraphQL,Complexa,346.01029999612365,3307
17,REST,Simples,364.67049999919254,2719
17,GraphQL,Simples,355.7322999986354,63
17,REST,Complexa,317.73120000434574,2719
17,GraphQL,Complexa,348.6004000005778,3307
18,REST,Simples,318.5966000019107,2719
18,GraphQL,Simples,362.539800000377,63
18,REST,Complexa,325.30579999729525,2719
18,GraphQL,Complexa,349.68560001289006,3307
19,REST,Simples,321.045899996534,2719
19,GraphQL,Simples,364.4605000008596,63
19,REST,Complexa,319.9612000025809,2719
19,GraphQL,Complexa,390.91329999791924,3307
20,REST,Simples,323.4645999909844,2719
20,GraphQL,Simples,376.11899999319576,63
20,REST,Complexa,320.1227000099607,2719
20,GraphQL,Complexa,351.5021999919554,3307
21,REST,Simples,314.12660000205506,2719
21,GraphQL,Simples,353.27399999368936,63
21,REST,Complexa,312.0539999945322,2719
21,GraphQL,Complexa,344.10570000181906,3307
22,REST,Simples,324.23949999792967,2719
22,GraphQL,Simples,345.6685999990441,63
22,REST,Complexa,374.91830000362825,2719
22,GraphQL,Complexa,346.11479999148287,3307
23,REST,Simples,320.1861999987159,2719
23,GraphQL,Simples,349.3891999969492,63
23,REST,Complexa,321.8481999938376,2719
23,GraphQL,Complexa,362.31639998732135,3307
24,REST,Simples,321.6886999871349,2719
24,GraphQL,Simples,371.1714000091888,63
24,REST,Complexa,319.5980000018608,2719
24,GraphQL,Complexa,348.4922999923583,3307
25,REST,Simples,356.99889999523293,2719
25,GraphQL,Simples,361.5964999917196,63
25,REST,Complexa,322.3320999968564,2719
25,GraphQL,Complexa,349.0151000005426,3307
26,REST,Simples,325.5172000062885,2719
26,GraphQL,Simples,349.6420000010403,63
26,REST,Complexa,319.70900000305846,2719
26,GraphQL,Complexa,346.7307999962941,3307
27,REST,Simples,319.95170000300277,2719
27,GraphQL,Simples,357.9712000064319,63
27,REST,Complexa,321.9780999934301,2719
27,GraphQL,Complexa,394.30230000289157,3307
28,REST,Simples,318.7923000077717,2719
28,GraphQL,Simples,354.67340001196135,63
28,REST,Complexa,320.7423999992898,2719
28,GraphQL,Complexa,345.4468999989331,3307
29,REST,Simples,323.7754000001587,2719
29,GraphQL,Simples,360.53309999988414,63
29,REST,Complexa,323.74790000903886,2719
29,GraphQL,Complexa,360.9635999891907,3307
30,REST,Simples,319.76090000534896,2719
30,GraphQL,Simples,348.44250000605825,63
30,REST,Complexa,357.91629999584984,2719
30,GraphQL,Complexa,345.6556000019191,3307
31,REST,Simples,327.8433999948902,2719
31,GraphQL,Simples,361.4644000044791,63
31,REST,Complexa,319.47869999567047,2719
31,GraphQL,Complexa,356.45359999034554,3307
32,REST,Simples,319.5574000128545,2719
32,GraphQL,Simples,360.8061999984784,63
32,REST,Complexa,322.3729000019375,2719
32,GraphQL,Complexa,353.97999999986496,3307
33,REST,Simples,356.27540000132285,2719
33,GraphQL,Simples,363.775000005262,63
33,REST,Complexa,328.56969999556895,2719
33,GraphQL,Complexa,364.09430000639986,3307
34,REST,Simples,319.70490000094287,2719
34,GraphQL,Simples,367.1017999877222,63
34,REST,Complexa,336.1966999946162,2719
34,GraphQL,Complexa,347.63780000503175,3307
35,REST,Simples,325.21249999990687,2719
35,GraphQL,Simples,357.83449999871664,63
35,REST,Complexa,325.2978999953484,2719
35,GraphQL,Complexa,394.7061999933794,3307
36,REST,Simples,318.9719999936642,2719
36,GraphQL,Simples,378.38619999820367,63
36,REST,Complexa,319.3013999989489,2719
36,GraphQL,Complexa,368.3902000047965,3307
37,REST,Simples,321.4274000056321,2719
37,GraphQL,Simples,353.2252000004519,63
37,REST,Complexa,319.8624000069685,2719
37,GraphQL,Complexa,360.25769999832846,3307
38,REST,Simples,319.3041000049561,2719
38,GraphQL,Simples,353.0689000035636,63
38,REST,Complexa,354.4782000099076,2719
38,GraphQL,Complexa,394.6123999921838,3307
39,REST,Simples,322.3617000039667,2719
39,GraphQL,Simples,360.1238999981433,63
39,REST,Complexa,324.4898000120884,2719
39,GraphQL,Complexa,346.5266999992309,3307
40,REST,Simples,320.5793000088306,2719
40,GraphQL,Simples,362.7751000021817,63
40,REST,Complexa,326.44069999514613,2719
40,GraphQL,Complexa,357.8761999960989,3307
41,REST,Simples,375.7346999918809,2719
41,GraphQL,Simples,377.6857999910135,63
41,REST,Complexa,318.60969999979716,2719
41,GraphQL,Complexa,361.46450000524055,3307
42,REST,Simples,325.68360000732355,2719
42,GraphQL,Simples,352.57769998861477,63
42,REST,Complexa,318.17150001006667,2719
42,GraphQL,Complexa,358.56009999406524,3307
43,REST,Simples,321.5166000009049,2719
43,GraphQL,Simples,354.0400000056252,63
43,REST,Complexa,322.1235999953933,2719
43,GraphQL,Complexa,388.2967999961693,3307
44,REST,Simples,327.6645000005374,2719
44,GraphQL,Simples,352.40069999417756,63
44,REST,Complexa,316.65890000294894,2719
44,GraphQL,Complexa,360.88849999941885,3307
45,REST,Simples,319.8597000009613,2719
45,GraphQL,Simples,364.2535999970278,63
45,REST,Complexa,322.39750000007916,2719
45,GraphQL,Complexa,348.5884999972768,3307
46,REST,Simples,392.9898999922443,2719
46,GraphQL,Simples,399.6441000053892,63
46,REST,Complexa,322.4686000030488,2719
46,GraphQL,Complexa,347.8237999952398,3307
47,REST,Simples,323.7063999986276,2719
47,GraphQL,Simples,355.3768999991007,63
47,REST,Complexa,325.76500000141095,2719
47,GraphQL,Complexa,350.75789999973495,3307
48,REST,Simples,320.6255999975838,2719
48,GraphQL,Simples,358.68540000228677,63
48,REST,Complexa,332.21659999981057,2719
48,GraphQL,Complexa,366.5561000088928,3307
49,REST,Simples,358.49480000615586,2719
49,GraphQL,Simples,361.68660000839736,63
49,REST,Complexa,326.79510000161827,2719
49,GraphQL,Complexa,352.87610000523273,3307
50,REST,Simples,325.72239999717567,2719
50,GraphQL,Simples,382.42510000418406,63
50,REST,Complexa,318.9305000123568,2719
50,GraphQL,Complexa,346.4166999910958,3307
